distribution_center_id,unsold_units,unsold_cost,aged_units_180d,aged_cost_180d,orders,avg_days_to_ship,avg_days_to_deliver,returned_orders,non_cancelled_orders,return_rate,distribution_center
3,38255,1256878.8178817716,30659,1006420.0729485659,21446,0.9989248082574725,3.5261086329047493,2216,18252,0.12141135218058295,Houston TX
1,41047,1136970.0883808907,32972,912595.269425984,22841,1.0037475741149702,3.51354725933325,2282,19490,0.11708568496664956,Memphis TN
2,40354,1052949.1766681543,32245,842485.7023242714,22519,0.9962149886449659,3.497619354008493,2214,19173,0.1154748865592239,Chicago IL
8,30855,998298.5330367433,24553,792754.7346026677,17317,0.9893767705382436,3.4951263836114324,1717,14752,0.1163909978308026,Mobile AL
7,28884,907424.490252281,23120,727800.863478496,16234,1.0040742846314195,3.4892252894033837,1623,13768,0.11788204532248693,Philadelphia PA
4,29481,780447.1316612406,23732,629781.1499754449,16672,0.9939393939393939,3.4897112225488502,1674,14199,0.11789562645256708,Los Angeles CA
6,27608,768339.1862233676,22127,616765.9475405655,15671,1.0007878668505024,3.476536922517279,1578,13261,0.11899555086343414,Port Authority of New York/New Jersey NY/NJ
10,20025,675968.8285133019,16037,543647.4419724894,11425,0.980246586238897,3.4733550162621967,1183,9758,0.1212338593974175,Savannah GA
5,21831,644325.7796164231,17508,514700.0170653837,12462,0.9852325867585527,3.4637647603611947,1211,10581,0.11445043001606653,New Orleans LA
9,28609,565352.5991357026,22955,454853.80920058343,16103,0.9882857142857143,3.4729609137961805,1632,13596,0.12003530450132392,Charleston SC
